"Matricula","Periodo","Periodo_Curso","P1","P2","LP1","IC","LP2","Discreta","Eda","Leda","Grafos","TC"
"B10079",2007.1,1,18,0,25,71,0,0,0,0,0,0
"B10079",2007.2,1,82,0,90,0,0,0,0,0,0,0
"B10079",2008.1,2,0,89,0,0,83,28,0,0,78,0
"B10079",2008.2,2,0,0,0,0,0,53,0,0,0,0
"B10079",2009.1,3,0,0,0,0,0,0,10,200,0,8
"B10083",2003.1,1,51,0,50,79,0,0,0,0,0,0
"B10083",2003.2,2,0,72,0,0,81,55,0,0,71,0
"B10083",2004.1,3,0,0,0,0,0,0,50,74,0,75
"B10086",2007.2,1,200,0,200,200,0,0,0,0,0,0
"B10087",2008.2,1,200,0,200,200,0,0,0,0,0,0
"B10087",2009.1,1,200,0,200,39,0,0,0,0,0,0
"B10087",2009.2,1,200,0,200,200,0,0,0,0,0,0
"B10088",2009.2,1,14,0,200,52,0,0,0,0,0,0
"B10088",2010.1,1,200,0,200,0,0,0,0,0,0,0
"B10088",2010.2,1,22,0,17,0,0,0,0,0,0,0
"B10092",2009.1,1,50,0,70,75,0,0,0,0,0,0
"B10092",2009.2,2,0,67,0,0,82,50,0,0,51,0
"B10092",2010.1,3,0,0,0,0,0,0,66,79,0,0
"B10092",2010.2,3,0,0,0,0,0,0,0,0,0,72
"B1012",2010.2,1,71,0,68,70,0,0,0,0,0,0
"B1012",2011.1,2,0,56,0,0,40,51,0,0,75,0
"B1012",2011.2,2,0,0,0,0,37,0,0,0,0,0
"B1012",2011.2,3,0,0,0,0,0,0,0,0,0,56
"B1012",2012.1,2,0,0,0,0,55,0,0,0,0,0
"B1012",2013.1,3,0,0,0,0,0,0,50,52,0,0
"B10172",2011.2,1,69,0,71,73,0,0,0,0,0,0
"B10172",2012.1,2,0,200,0,0,200,38,0,0,55,0
"B10172",2012.2,2,0,83,0,0,60,39,0,0,0,0
"B10172",2013.1,2,0,0,0,0,0,63,0,0,0,0
"B10172",2013.1,3,0,0,0,0,0,0,50,50,0,0
"B10172",2013.2,3,0,0,0,0,0,0,0,0,0,25
"B10192",2006.1,1,84,0,84,78,0,0,0,0,0,0
"B10192",2006.2,2,0,60,0,0,82,50,0,0,50,0
"B10192",2007.1,3,0,0,0,0,0,0,65,67,0,200
"B10192",2007.2,3,0,0,0,0,0,0,0,0,0,65
"B10199",2005.2,1,61,0,56,78,0,0,0,0,0,0
"B10199",2006.1,2,0,63,0,0,87,51,0,0,50,0
"B10199",2006.2,3,0,0,0,0,0,0,66,61,0,37
"B10199",2007.1,3,0,0,0,0,0,0,0,0,0,71
"B10202",2013.2,1,37,0,37,80,0,0,0,0,0,0
"B10202",2014.1,1,200,0,200,0,0,0,0,0,0,0
"B10202",2014.1,2,0,0,0,0,0,1,0,0,0,0
"B1024",2010.1,1,75,0,84,77,0,0,0,0,0,0
"B1024",2010.2,2,0,83,0,0,87,70,0,0,0,0
"B1024",2011.1,2,0,0,0,0,0,0,0,0,76,0
"B1024",2011.2,3,0,0,0,0,0,0,56,64,0,54
"B10268",2003.2,1,70,0,78,78,0,0,0,0,0,0
"B10268",2004.1,2,0,71,0,0,78,69,0,0,59,0
"B10268",2004.2,3,0,0,0,0,0,0,71,70,0,74
"B1028",2011.1,1,86,0,88,86,0,0,0,0,0,0
"B1028",2011.2,2,0,77,0,0,58,52,0,0,89,0
"B1028",2012.1,3,0,0,0,0,0,0,70,75,0,70
"B10284",2012.1,1,72,0,72,84,0,0,0,0,0,0
"B10284",2012.2,2,0,78,0,0,76,75,0,0,58,0
"B10284",2013.1,3,0,0,0,0,0,0,70,72,0,69
"B10296",2007.1,1,200,0,200,200,0,0,0,0,0,0
"B10297",2004.1,1,57,0,76,86,0,0,0,0,0,0
"B10297",2004.2,2,0,58,0,0,82,78,0,0,78,0
"B10297",2005.1,3,0,0,0,0,0,0,73,71,0,77
"B10299",2008.1,1,70,0,51,58,0,0,0,0,0,0
"B10299",2008.2,2,0,65,0,0,84,13,0,0,61,0
"B10299",2009.1,2,0,0,0,0,0,50,0,0,0,0
"B10299",2009.1,3,0,0,0,0,0,0,10,21,0,0
"B10299",2009.2,3,0,0,0,0,0,0,12,27,0,200
"B10299",2010.1,3,0,0,0,0,0,0,200,200,0,200
"B10300",2002.1,1,83,0,97,78,0,0,0,0,0,0
"B10300",2002.2,2,0,84,0,0,91,70,0,0,79,0
"B10300",2003.1,3,0,0,0,0,0,0,70,70,0,61
"B10304",2007.2,1,26,0,38,72,0,0,0,0,0,0
"B10304",2008.1,1,76,0,75,0,0,0,0,0,0,0
"B10304",2008.1,2,0,0,0,0,0,14,0,0,0,0
"B10304",2008.2,2,0,82,0,0,96,54,0,0,76,0
"B10304",2009.1,3,0,0,0,0,0,0,46,70,0,69
"B10304",2009.2,3,0,0,0,0,0,0,57,0,0,0
"B10305",2004.2,1,50,0,50,78,0,0,0,0,0,0
"B10305",2005.1,2,0,54,0,0,81,66,0,0,56,0
"B10305",2005.2,3,0,0,0,0,0,0,79,85,0,71
"B10307",2002.2,1,67,0,79,89,0,0,0,0,0,0
"B10307",2003.1,2,0,70,0,0,83,0,0,0,57,0
"B10307",2003.2,3,0,0,0,0,0,0,70,79,0,73
"B10309",2003.2,1,63,0,50,77,0,0,0,0,0,0
"B10309",2004.1,2,0,55,0,0,77,50,0,0,51,0
"B10309",2004.2,3,0,0,0,0,0,0,51,57,0,50
"B1032",2009.1,1,38,0,27,71,0,0,0,0,0,0
"B1032",2009.2,1,83,0,72,0,0,0,0,0,0,0
"B1032",2009.2,2,0,0,0,0,0,57,0,0,0,0
"B1032",2010.1,2,0,63,0,0,27,0,0,0,59,0
"B1032",2010.2,2,0,0,0,0,32,0,0,0,0,0
"B1032",2011.1,2,0,0,0,0,34,0,0,0,0,0
"B1032",2011.1,3,0,0,0,0,0,0,0,0,0,15
"B1033",2013.1,1,58,0,58,72,0,0,0,0,0,0
"B1033",2013.2,2,0,52,0,0,55,45,0,0,51,0
"B1033",2014.1,2,0,0,0,0,0,65,0,0,0,0
"B1033",2014.1,3,0,0,0,0,0,0,200,200,0,200
"B1034",2010.2,1,84,0,87,71,0,0,0,0,0,0
"B1034",2011.1,2,0,70,0,0,73,70,0,0,84,0
"B1034",2011.2,3,0,0,0,0,0,0,56,51,0,53
"B1036",2011.2,1,70,0,71,50,0,0,0,0,0,0
"B1036",2012.1,2,0,200,0,0,200,0,0,0,200,0
"B10443",2010.1,1,78,0,83,95,0,0,0,0,0,0
"B10443",2010.2,2,0,89,0,0,85,79,0,0,76,0
"B10443",2011.1,3,0,0,0,0,0,0,70,77,0,0
"B10443",2011.2,3,0,0,0,0,0,0,0,0,0,73
"B10447",2005.1,1,88,0,94,94,0,0,0,0,0,0
"B10447",2005.2,2,0,84,0,0,96,85,0,0,81,0
"B10447",2006.1,3,0,0,0,0,0,0,73,97,0,100
"B10451",2010.2,1,78,0,78,52,0,0,0,0,0,0
"B10451",2011.1,2,0,80,0,0,78,0,0,0,55,0
"B10451",2011.2,2,0,0,0,0,0,39,0,0,0,0
"B10451",2011.2,3,0,0,0,0,0,0,38,42,0,0
"B10451",2012.1,2,0,0,0,0,0,27,0,0,0,0
"B10451",2012.1,3,0,0,0,0,0,0,64,51,0,0
"B10454",2012.2,1,77,0,77,54,0,0,0,0,0,0
"B10454",2013.1,2,0,200,0,0,25,0,0,0,50,0
"B10454",2013.2,2,0,200,0,0,31,200,0,0,0,0
"B10456",2013.2,1,88,0,89,72,0,0,0,0,0,0
"B10456",2014.1,2,0,71,0,0,75,68,0,0,61,0
"B10504",2009.1,1,53,0,79,76,0,0,0,0,0,0
"B10504",2009.2,2,0,77,0,0,50,63,0,0,63,0
"B10504",2010.1,3,0,0,0,0,0,0,67,82,0,70
"B10512",2013.1,1,64,0,64,38,0,0,0,0,0,0
"B10512",2013.2,1,0,0,0,63,0,0,0,0,0,0
"B10512",2013.2,2,0,0,0,0,0,200,0,0,0,0
"B10512",2014.1,2,0,200,0,0,200,200,0,0,200,0
"B10565",2011.1,1,37,0,33,73,0,0,0,0,0,0
"B10565",2012.1,2,0,0,0,0,0,200,0,0,0,0
"B10578",2013.2,1,70,0,70,0,0,0,0,0,0,0
"B10578",2014.1,2,0,70,0,0,77,64,0,0,78,0
"B10638",2010.1,1,70,0,71,87,0,0,0,0,0,0
"B10638",2010.2,2,0,81,0,0,80,82,0,0,75,0
"B10638",2011.1,3,0,0,0,0,0,0,54,72,0,0
"B10638",2011.2,3,0,0,0,0,0,0,0,0,0,74
"B10644",2010.2,1,70,0,72,83,0,0,0,0,0,0
"B10644",2011.1,2,0,76,0,0,70,0,0,0,79,0
"B10644",2011.2,2,0,0,0,0,0,65,0,0,0,0
"B10644",2011.2,3,0,0,0,0,0,0,51,52,0,0
"B10644",2012.1,3,0,0,0,0,0,0,0,0,0,31
"B10644",2013.1,3,0,0,0,0,0,0,0,0,0,75
"B10648",2012.2,1,79,0,79,78,0,0,0,0,0,0
"B10648",2013.1,2,0,67,0,0,64,0,0,0,50,0
"B10648",2013.2,2,0,0,0,0,0,50,0,0,0,0
"B10648",2013.2,3,0,0,0,0,0,0,19,24,0,0
"B10648",2014.1,3,0,0,0,0,0,0,0,0,0,200
"B10650",2013.2,1,50,0,50,76,0,0,0,0,0,0
"B10694",2014.1,1,66,0,66,52,0,0,0,0,0,0
"B10706",2014.1,1,81,0,81,95,0,0,0,0,0,0
"B1080",2014.1,1,23,0,23,42,0,0,0,0,0,0
"B10833",2010.1,1,50,0,73,52,0,0,0,0,0,0
"B10833",2010.2,2,0,25,0,0,21,0,0,0,200,0
