"Matricula","Periodo","Media_Int","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Situacao","Discreta","P1","P2","Grafos","TC","Eda","IC","GI","Leda","LP1","LP2"
"B10079",2007.1,18,1411167,0,"PROGRAMAÇÃO.I","Reprovado",0,18,0,0,0,0,0,0,0,0,0
"B10079",2007.1,25,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Reprovado",0,0,0,0,0,0,0,0,0,25,0
"B10079",2007.1,71,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,71,0,0,0,0
"B10079",2007.2,82,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,82,0,0,0,0,0,0,0,0,0
"B10079",2007.2,88,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,88,0,0,0
"B10079",2007.2,90,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,90,0
"B10079",2008.1,28,1109113,0,"MATEMÁTICA.DISCRETA","Reprovado",28,0,0,0,0,0,0,0,0,0,0
"B10079",2008.1,78,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,78,0,0,0,0,0,0,0
"B10079",2008.1,83,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,83
"B10079",2008.1,89,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,89,0,0,0,0,0,0,0,0
"B10079",2008.2,53,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",53,0,0,0,0,0,0,0,0,0,0
"B10079",2009.1,0,1411179,1,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10079",2009.1,8,1411171,1,"TEORIA.DA.COMPUTAÇÃO","Reprovado",0,0,0,0,8,0,0,0,0,0,0
"B10079",2009.1,10,1411172,1,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Reprovado",0,0,0,0,0,10,0,0,0,0,0
"B10083",2003.1,50,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,50,0
"B10083",2003.1,51,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,51,0,0,0,0,0,0,0,0,0
