"Matricula","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Media_Disciplina","Periodo","Situacao"
"B7350",1411191,0,"INTERCONEXÃO DE REDES DE COMPUTADORES",8.5,2004.2,"Aprovado"
"B7350",1411196,0,"INTELIGENCIA ARTIFICIAL I",9.3,2005.1,"Aprovado"
"B7350",1411255,0,"TECC(LAB DE SISTEMAS OPERACIONAIS)",10,2005.1,"Aprovado"
"B7350",1411173,0,"LÓGICA MATEMÁTICA",8.7,2003.2,"Aprovado"
"B7350",1109035,0,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA",9.3,2002.1,"Aprovado"
"B7350",1411190,0,"REDES DE COMPUTADORES",8.5,2004.1,"Aprovado"
"B7350",1411262,0,"TECC (ARQUITETURA DE SIST. EMBUTIDOS)",9.2,2005.2,"Aprovado"
"B7350",1305220,0,"INFORMÁTICA E SOCIEDADE",10,2004.2,"Aprovado"
"B7350",1411169,0,"PARADIGMAS DE LING. DE PROGRAMAÇÃO",10,2003.2,"Aprovado"
"B7350",1411192,0,"SISTEMAS OPERACIONAIS",8.6,2005.1,"Aprovado"
"B7350",1411204,0,"GERENCIA DE REDES DE COMPUTADORES",9,2005.2,"Aprovado"
"B7350",1411181,0,"LABORATÓRIO DE PROGRAMAÇÃO II",9.4,2002.2,"Aprovado"
"B7350",1411247,0,"TECC(ALGORITMOS AVANÇADOS II)",9,2004.1,"Aprovado"
"B7350",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",10,2002.1,"Aprovado"
"B7350",1411184,0,"LAB.DE INTERCON.DE REDES DE COMPUTADORES",8.5,2004.2,"Aprovado"
"B7350",1411171,0,"TEORIA DA COMPUTAÇÃO",8.5,2003.1,"Aprovado"
"B7350",1305218,0,"METODOLOGIA CIENTÍFICA",9.8,2002.2,"Aprovado"
"B7350",1305219,0,"DIREITO E CIDADANIA",10,2004.2,"Aprovado"
"B7350",1411202,0,"ENGENHARIA DE SOFTWARE II",9.1,2004.2,"Aprovado"
"B7350",1411183,0,"LABORATÓRIO DE ENGENHARIA DE SOFTWARE",8.9,2004.2,"Aprovado"
"B7350",1411179,0,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",9.1,2003.1,"Aprovado"
"B7350",1411177,0,"ENGENHARIA DE SOFTWARE I",7.5,2003.2,"Aprovado"
"B7350",1411212,0,"ORGAN. E ARQUITETURA DE COMPUTADORES II",10,2004.2,"Aprovado"
"B7350",1411195,0,"SISTEMAS DE INFORMAÇÃO II",8.2,2004.1,"Aprovado"
"B7350",1108090,0,"FUNDAMENTOS DE FÍSICA MODERNA",8.6,2003.1,"Aprovado"
"B7350",1114107,0,"PROBABILIDADE E ESTATISTICA",9.5,2003.1,"Aprovado"
"B7350",1109113,0,"MATEMÁTICA DISCRETA",9.2,2002.2,"Aprovado"
"B7350",1411185,0,"PROJETO EM COMPUTAÇÃO I",8.8,2005.1,"Aprovado"
"B7350",1411174,0,"INTRODUÇÃO A COMPUTAÇÃO",9.5,2002.1,"Aprovado"
"B7350",1411249,0,"TECC (METODOS FORMAIS)",9.5,2004.1,"Aprovado"
"B7350",1411217,0,"PROJETO DE REDES DE COMPUTADORES",8.5,2005.1,"Aprovado"
"B7350",1411236,0,"TECC (SISTEMAS DE APOIO A DECISÃO)",9.4,2005.2,"Aprovado"
"B7350",1411194,0,"BANCO DE DADOS II",8.4,2004.2,"Aprovado"
"B7350",1411168,0,"PROGRAMAÇÃO II",8.6,2002.2,"Aprovado"
"B7350",1411193,0,"BANCO DE DADOS I",8.5,2004.1,"Aprovado"
"B7350",1411197,0,"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS",8.2,2005.2,"Aprovado"
"B7350",1411176,0,"GERÊNCIA DA INFORMAÇÃO",9.4,2003.1,"Aprovado"
"B7350",1411188,0,"MÉTODOS E SOFTWARE NUMÉRICOS",9,2005.2,"Aprovado"
"B7350",1108089,0,"FUNDAMENTOS DE FÍSICA CLÁSSICA",9.9,2002.2,"Aprovado"
"B7350",1411182,0,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",9.9,2003.2,"Aprovado"
"B7350",1411187,0,"ANÁLISE E TÉCNICA DE ALGORITMOS",9,2004.1,"Aprovado"
"B7350",1411238,0,"SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)",9,2005.1,"Aprovado"
"B7350",1411175,0,"ORG.E ARQUITETURA DE COMPUTADORES I",9.5,2003.2,"Aprovado"
